abbr,meaning,name
And,Daughter of Cassiopeia,Andromeda
Ant,The Air Pump,Antlia
Aps,Bird of Paradise,Apus
Aqr,The Water-Bearer,Aquarius
Aql,The Eagle,Aquila
Ara,The Altar,Ara
Ari,The Ram,Aries
Aur,The Charioteer,Auriga
Boo,The Herdsman,Boötes
Cae,The Chisel,Caelum
Cam,The Giraffe,Camelopardalis
Cnc,The Crab,Cancer
CVn,The Hunting Dogs,Canes Venatici
CMa,The Big Dog,Canis Major
CMi,The Little Dog,Canis Minor
Cap,The Goat,Capricornus
Car,The Keel (of Argo),Carina
Cas,The Queen,Cassiopeia
Cen,The Centaur,Centaurus
Cep,The King,Cepheus
Cet,The Whale,Cetus
Cha,The Chameleon,Chamaeleon
Cir,The Compasses,Circinus
Col,The Dove,Columba
Com,Berenice's Hair,Coma Berenices
CrA,The Southern Crown,Corona Australis
CrB,The Northern Crown,Corona Borealis
Crv,The Crow,Corvus
Crt,The Cup,Crater
Cru,The Cross,Crux
Cyg,The Swan,Cygnus
Del,The Dolphin,Delphinus
Dor,The Swordfish,Dorado
Dra,The Dragon,Draco
Equ,The Little Horse,Equuleus
Eri,The River,Eridanus
For,The Furnace,Fornax
Gem,The Twins,Gemini
Gru,The Crane (bird),Grus
Her,The Son of Zeus,Hercules
Hor,The Clock,Horologium
Hya,The Water Snake (female),Hydra
Hyi,The Water Snake (male),Hydrus
Ind,The Indian (American),Indus
Lac,The Lizard,Lacerta
Leo,The Lion,Leo
LMi,The Little Lion,Leo Minor
Lep,The Hare,Lepus
Lib,The Balance,Libra
Lup,The Wolf,Lupus
Lyn,The Lynx,Lynx
Lyr,The Lyre,Lyra
Men,The Table,Mensa
Mic,The Microscope,Microscopium
Mon,The Unicorn,Monoceros
Mus,The Fly,Musca
Nor,The Square,Norma
Oct,The Octant,Octans
Oph,The Serpent-Bearer,Ophiuchus
Ori,The Hunter,Orion
Pav,The Peacock,Pavo
Peg,The Winged Horse,Pegasus
Per,Rescuer of Andromeda,Perseus
Phe,The Phoenix,Phoenix
Pic,The Painter,Pictor
Psc,The Fishes,Pisces
PsA,The Southern Fish,Piscis Austrinus
Pup,The Stern (of Argo),Puppis
Pyx,The Compass,Pyxis
Ret,The Reticle,Reticulum
Sge,The Arrow,Sagitta
Sgr,The Archer,Sagittarius
Sco,The Scorpion,Scorpius
Scl,The Sculptor,Sculptor
Sct,The Shield,Scutum
Ser,The Serpent,Serpens
Sex,The Sextant,Sextans
Tau,The Bull,Taurus
Tel,The Telescope,Telescopium
Tri,The Triangle,Triangulum
TrA,The Southern Triangle,Triangulum Australe
Tuc,The Toucan,Tucana
UMa,The Great Bear,Ursa Major
UMi,The Little Bear,Ursa Minor
Vel,The Sails (of Argo),Vela
Vir,The Maiden,Virgo
Vol,The Flying Fish,Volans
Vul,The Fox,Vulpecula
